id,city
1,Delhi
2,Mumbai
3,Kolkata
4,Chennai
5,Bangalore
6,Hyderabad
7,Ahmedabad
8,Surat
9,Pune
10,Kanpur
11,Indore
12,Jaipur
13,Vadodara
14,Nagpur
15,Lucknow
16,Patna
17,Vishakapatnam
18,Bhopal
19,Gwalior
20,Jabalpur
21,Aurangabad
22,Gandhinagar
23,Madurai
24,Aligarh
25,Kochi
26,Coimbatore
27,Vijayawada
28,Tiruchirapalli
29,Nashik
30,Rajkot
31,Solapur
32,Anand
33,Ludhiana
34,Agra
35,Meerut
36,Thiruvananthapuram
37,Kozhikode
38,Faridabad
39,Varanasi
40,Jamshedpur
41,Allahabad
42,Amritsar
43,Dhanbad
44,Gorakhpur
45,Hubli-Dharwad
46,Bhavnagar
47,Raipur
48,Mysore
49,Thrissur
50,Mangalore
51,Guntur
52,Bhubaneswar
53,Amravati
54,Srinagar
55,Bhilai
56,Warangal
57,Tirunelveli
58,Nellore
59,Ranchi
60,Guwahati
61,Aurangabad
62,Chandigarh
63,Patiala
64,Jodhpur
65,Pondicherry
66,Salem
67,Dehradun
68,Hajipur
69,Kollam
70,Sangli
71,Jamnagar
72,Jammu
73,Kurnool
74,Roorkee
75,Vellore
76,Kannur
77,Etawah
