rank,university,city,
840,Abhilashi University,Chailchowk,6
221,Acharya N.G. Ranga Agricultural University,Hyderabad,3
154,Acharya Nagarjuna University,Guntur,3
607,Adamas University,Barasat,6
749,Adesh University,Bathinda,4
335,Adikavi Nannaya University,Rajahmundry,3
287,Ahmedabad University,Ahmedabad,6
560,AISECT University,Mendua Village,6
717,Ajeenkya D.Y. Patil University,Lohegaon,6
820,Akal University,Bathinda,6
706,AKS University,Satna,3
149,Alagappa University,Karaikudi,3
721,Al-Falah University,Faridabad,6
478,Aliah University,Kolkata,5
39,Aligarh Muslim University,Aligarh ...,2
184,All India Institute of Medical Sciences Bhopal,Bhopal,3
113,All India Institute of Medical Sciences Bhubaneswar,Bhubaneswar,3
61,All India Institute of Medical Sciences Delhi,New Delhi,3
168,All India Institute of Medical Sciences Jodhpur,Jodhpur,3
259,All India Institute of Medical Sciences Patna,Patna,3
132,All India Institute of Medical Sciences Raipur,Raipur,3
159,All India Institute of Medical Sciences Rishikesh,Rishikesh,3
425,Allahabad State University,Allahabad,5
273,Alliance University,Bangalore,4
294,Ambedkar University Delhi,New Delhi,4
36,Amity University,Noida ...,2
20,Amrita Vishwa Vidyapeetham,Coimbatore ...,2
246,Anand Agricultural University,Anand,4
790,Anant National University,Ahmedabad,6
82,Andhra University,Visakhapatnam,6
11,Anna University,Chennai,1
77,Annamalai University,Chidambaram,2
441,Ansal University,Gurgaon,5
549,AP Goyal Shimla University,Shimla,6
436,Apeejay Stya University,Gurgaon,5
779,Apex Professional University,Pasighat,6
90,APJ Abdul Kalam Technological University,Thiruvananthapuram,2
861,Arka Jain University,Gamharia,6
731,Arni University,Kathgarh,6
625,Arunachal University of Studies,Namsai,6
773,Arunodaya University,Itanagar,6
439,Aryabhatta Knowledge University,Patna,5
268,Ashoka University,Sonipat,3
290,Assam Agricultural University,Jorhat,3
358,Assam Don Bosco University,Guwahati,4
585,Assam Down Town University,Guwahati,6
799,Assam Rajiv Gandhi University of Cooperative Management,Sivasagar,6
675,Assam Science and Technology University,Guwahati,6
234,Assam University,Silchar,3
815,Assam Women's University,Jorhat,6
728,Atal Bihari Vajpayee Hindi Vishwavidyalaya,Bhopal,6
606,AURO University,Surat,6
691,Avantika University,Ujjain,6
451,Avinashilingam University,Coimbatore,5
438,Awadhesh Pratap Singh University,Rewa,5
594,Ayush and Health Sciences University of Chhattisgarh,Raipur,6
200,Azim Premji University,Bangalore,3
338,B.S. Abdur Rahman University,Chennai,4
161,Baba Farid University of Health Sciences,Faridkot,2
544,Baba Ghulam Shah Badhshah University,Rajouri,6
780,Baba Mastnath University,Rohtak,6
385,Babasaheb Bhimrao Ambedkar Bihar University,Muzaffarpur,4
209,Babasaheb Bhimrao Ambedkar University,Lucknow,3
566,Babu Banarasi Das University,Lucknow,6
598,Baddi University of Emerging Sciences and Technologies,Baddi,6
736,BAHRA University,Waknaghat ...,6
55,Banaras Hindu University,Varanasi,2
279,Banasthali Vidyapith,Banasthali ...,3
674,Banda University of Agriculture and Technology,Banda,6
45,Bangalore University,Bangalore,2
722,Bankura University,Bankura,6
859,Bareilly International University,Bareilly,6
179,Barkatullah University,Bhopal,3
653,Bastar Vishwavidyalaya,Bastar,6
872,Bengaluru North University,Kolar,6
493,Bennett University,Greater Noida,5
325,Berhampur University,Berhampur,4
545,Bhagat Phool Singh Mahila Vishwavidyalaya,Khanpur Kalan,6
486,Bhagwant University,Ajmer,5
565,Bhakta Kavi Narsinh Mehta University,Junagadh,6
201,Bharath Institute of Higher Education and Research,Chennai,3
112,Bharathiar University,Coimbatore,3
106,Bharathidasan University,Tiruchirappalli,3
151,Bharati Vidyapeeth University,Pune ...,3
844,Bhartiya Skill Development University,Jaipur,6
711,Bhatkhande Music Institute,Lucknow,6
835,Bhupal Nobles University,Udaipur,6
761,Bhupendra Narayan Mandal University,Madhepura,6
278,Bidhan Chandra Krishi Vishwavidyalaya,Mohanpur,3
587,Bihar Agricultural University,Bhagalpur,6
205,Biju Patnaik University of Technology,Rourkela,3
182,Bilaspur Vishwavidyalaya,Bilaspur,3
67,Birla Institute of Technology,Ranchi,1
16,Birla Institute of Technology and Science,Pilani,1
445,Birsa Agricultural University,Ranchi,5
570,BLDE University,Bijapur,6
433,BML Munjal University,Gurgaon,5
541,Bodoland University,Kokrajhar,6
524,Brainware University,Barasat,5
136,Bundelkhand University,Jhansi,3
699,C.U. Shah University,Wadhwan,6
673,Calorx Teachers University,Ahmedabad,6
692,Career Point University,Hamirpur,6
615,Central Agricultural University,Imphal,6
391,Central Institute of Fisheries Education,Mumbai,4
309,Central University of Gujarat,Gandhinagar,4
293,Central University of Haryana,Mahendragarh,3
269,Central University of Himachal Pradesh,Kangra,3
522,Central University of Jammu,Jammu,6
264,Central University of Jharkhand,Ranchi,3
317,Central University of Karnataka,Gulbarga,4
219,Central University of Kashmir,Srinagar,3
369,Central University of Kerala,Kasaragod,4
446,Central University of Orissa,Koraput,5
480,Central University of Punjab,Bathinda,5
258,Central University of Rajasthan,Ajmer,3
292,Central University of South Bihar,Patna,3
239,Central University of Tamil Nadu,Thiruvarur,3
609,Central University of Tibetan Studies,Varanasi,6
271,Centurion University of Technology and Management,Bhubaneswar,3
143,CEPT University,Ahmedabad,3
539,Chanakya National Law University,Patna,6
79,Chandigarh University,Mohali ...,2
496,Chandra Shekhar Azad University of Agriculture and Technology,Kanpur,5
508,Charotar University of Science and Technology,Anand,5
693,Chaudhary Bansi Lal University,Bhiwani,6
332,Chaudhary Charan Singh Haryana Agricultural University,Hisar,4
91,Chaudhary Charan Singh University,Meerut,2
427,Chaudhary Devi Lal University,Sirsa,5
423,Chaudhary Ranbir Singh University,Jind,5
119,Chennai Mathematical Institute,Chennai,2
48,Chhatrapati Shahu Ji Maharaj University,Kalyanpur,2
670,Chhattisgarh Kamdhenu Vishwavidyalaya,Raipur,6
146,Chhattisgarh Swami Vivekananda Technical University,Bhilai,3
676,Children's University,Gandhinagar,6
665,Chitkara University,Kalujhanda,6
100,Chitkara University,Punjab,3
33,Christ University,Bangalore,2
814,Cluster University of Jammu,Jammu,6
794,CMJ University,Jorabat,6
697,CMR University,Bangalore,6
65,Cochin University of Science and Technology,Kochi,2
595,Cooch Behar Panchanan Barma University,Cooch Behar,6
640,Cotton University,Guwahati,6
85,CSK Himachal Pradesh Krishi Vishvavidyalaya,Palampur,2
662,Dakshina Bharat Hindi Prachar Sabha,Chennai,6
579,Damodaram Sanjivayya National Law University,Visakhapatnam ...,6
563,Datta Meghe Institute of Medical Sciences,Nagpur,6
532,DAV University,Jalandhar,6
547,Davangere University,Davangere,6
